Manufacturer	Name	MPG	Cylinders	Displacement	Horsepower	Weight	Acceleration	Year	Region
AMC	Ambassador Brougham	13	8	360	175	3821	11	1973	USA
AMC	Ambassador DPL	15	8	390	190	3850	8.5	1970	USA
AMC	Ambassador SSET	17	8	304	150	3672	11.5	1972	USA
AMC	Concord	19.4	6	232	90	3210	17.2	1978	USA
AMC	Concord	24.3	4	151	90	3003	20.1	1980	USA
AMC	Concord DL	18.1	6	258	120	3410	15.1	1978	USA
AMC	Concord DL	23	4	151	90	3035	20.5	1982	USA
AMC	Concord DL 6	20.2	6	232	90	3265	18.2	1979	USA
AMC	Gremlin	18	6	232	100	2789	15	1973	USA
AMC	Gremlin	19	6	232	100	2634	13	1971	USA
AMC	Gremlin	20	6	232	100	2914	16	1975	USA
AMC	Gremlin	21	6	199	90	2648	15	1970	USA
AMC	Hornet	18	6	199	97	2774	15.5	1970	USA
AMC	Hornet	18	6	232	100	2945	16	1973	USA
AMC	Hornet	19	6	232	100	2901	16	1974	USA
AMC	Hornet	22.5	6	232	90	3085	17.6	1976	USA
AMC	Hornet Sportabout	18	6	258	110	2962	13.5	1971	USA
AMC	Matador	18	6	232	100	3288	15.5	1971	USA
AMC	Matador	15	8	304	150	3892	12.5	1972	USA
AMC	Matador	14	8	304	150	3672	11.5	1973	USA
AMC	Matador	14	8	304	150	4257	15.5	1974	USA
AMC	Matador	15	6	258	110	3730	19	1975	USA
AMC	Matador	15.5	8	304	120	3962	13.9	1976	USA
AMC	Pacer	19	6	232	90	3211	17	1975	USA
AMC	Pacer DL	17.5	6	258	95	3193	17.8	1976	USA
AMC	Rebel SST	16	8	304	150	3433	12	1970	USA
AMC	Spirit DL	27.4	4	121	80	2670	15	1979	USA
Audi	100LS	24	4	107	90	2430	14.5	1970	Europe
Audi	100LS	20	4	114	91	2582	14	1973	Europe
Audi	100LS	23	4	115	95	2694	15	1975	Europe
Audi	4000	34.3	4	97	78	2188	15.8	1980	Europe
Audi	5000	20.3	5	131	103	2830	15.9	1978	Europe
Audi	5000S (diesel)	36.4	5	121	67	2950	19.9	1980	Europe
Audi	Fox	29	4	98	83	2219	16.5	1974	Europe
BMW	2002	26	4	121	113	2234	12.5	1970	Europe
BMW	320i	21.5	4	121	110	2600	12.8	1977	Europe
Buick	Century	17	6	231	110	3907	21	1975	USA
Buick	Century	22.4	6	231	110	3415	15.8	1982	USA
Buick	Century 350	13	8	350	175	4100	13	1973	USA
Buick	Century Limited	25	6	181	110	2945	16.4	1982	USA
Buick	Century Luxus	13	8	350	150	4699	14.5	1974	USA
Buick	Century Special	20.6	6	231	105	3380	15.8	1978	USA
Buick	Electra 225 Custom	12	8	455	225	4951	11	1973	USA
Buick	Estate Wagon	14	8	455	225	3086	10	1970	USA
Buick	Estate Wagon	16.9	8	350	155	4360	14.9	1979	USA
Buick	Lesabre Custom	13	8	350	155	4502	13.5	1972	USA
Buick	Opel Isuzu Deluxe	30	4	111	80	2155	14.8	1977	USA
Buick	Regal Sport Coupe (Turbo)	17.7	6	231	165	3445	13.4	1978	USA
Buick	Skyhawk	21	6	231	110	3039	15	1975	USA
Buick	Skylark	20.5	6	231	105	3425	16.9	1977	USA
Buick	Skylark	26.6	4	151	84	2635	16.4	1982	USA
Buick	Skylark 320	15	8	350	165	3693	11.5	1970	USA
Buick	Skylark Limited	28.4	4	151	90	2670	16	1979	USA
Cadillac	Eldorado	23	8	350	125	3900	17.4	1979	USA
Cadillac	Seville	16.5	8	350	180	4380	12.1	1976	USA
Capri	II	25	4	140	92	2572	14.9	1976	USA
Chevrolet	Bel Air	15	8	350	145	4440	14	1975	USA
Chevrolet	Camaro	27	4	151	90	2950	17.3	1982	USA
Chevrolet	Caprice Classic	13	8	400	150	4464	12	1973	USA
Chevrolet	Caprice Classic	17	8	305	130	3840	15.4	1979	USA
Chevrolet	Caprice Classic	17.5	8	305	145	3880	12.5	1977	USA
Chevrolet	Cavalier	28	4	112	88	2605	19.6	1982	USA
Chevrolet	Cavalier 2-door	34	4	112	88	2395	18	1982	USA
Chevrolet	Cavalier Wagon	27	4	112	88	2640	18.6	1982	USA
Chevrolet	Chevelle Concours	13	8	307	130	4098	14	1972	USA
Chevrolet	Chevelle Concours	13	8	350	165	4142	11.5	1970	USA
Chevrolet	Chevelle Malibu	16	6	250	105	3897	18.5	1975	USA
Chevrolet	Chevelle Malibu	17	6	250	100	3329	15.5	1971	USA
Chevrolet	Chevelle Malibu	18	8	307	130	3504	12	1970	USA
Chevrolet	Chevelle Malibu Classic	16	6	250	100	3781	17	1974	USA
Chevrolet	Chevelle Malibu Classic	17.5	8	305	140	4215	13	1976	USA
Chevrolet	Chevette	29	4	85	52	2035	22.2	1976	USA
Chevrolet	Chevette	30	4	98	68	2155	16.5	1978	USA
Chevrolet	Chevette	30.5	4	98	63	2051	17	1977	USA
Chevrolet	Chevette	32.1	4	98	70	2120	15.5	1980	USA
Chevrolet	Citation	23.5	6	173	110	2725	12.6	1982	USA
Chevrolet	Citation	28	4	151	90	2678	16.5	1980	USA
Chevrolet	Citation	28.8	6	173	115	2595	11.3	1979	USA
Chevrolet	Concours	17.5	6	250	110	3520	16.4	1977	USA
Chevrolet	Impala	11	8	400	150	4997	14	1973	USA
Chevrolet	Impala	13	8	350	165	4274	12	1972	USA
Chevrolet	Impala	14	8	350	165	4209	12	1971	USA
Chevrolet	Impala	14	8	454	220	4354	9	1970	USA
Chevrolet	Malibu	13	8	350	145	3988	13	1973	USA
Chevrolet	Malibu	20.5	6	200	95	3155	18.2	1978	USA
Chevrolet	Malibu Classic	19.2	8	267	125	3605	15	1979	USA
Chevrolet	Monte Carlo	15	8	400	150	3761	9.5	1970	USA
Chevrolet	Monte Carlo Landau	15.5	8	350	170	4165	11.4	1977	USA
Chevrolet	Monte Carlo Landau	19.2	8	305	145	3425	13.2	1978	USA
Chevrolet	Monte Carlo S	15	8	350	145	4082	13	1973	USA
Chevrolet	Monza 2+2	20	8	262	110	3221	13.5	1975	USA
Chevrolet	Nova	15	6	250	100	3336	17	1974	USA
Chevrolet	Nova	18	6	250	105	3459	16	1975	USA
Chevrolet	Nova	22	6	250	105	3353	14.5	1976	USA
Chevrolet	Nova Custom	16	6	250	100	3278	18	1973	USA
Chevrolet	Vega	20	4	140	90	2408	19.5	1972	USA
Chevrolet	Vega	21	4	140	72	2401	19.5	1973	USA
Chevrolet	Vega	25	4	140	75	2542	17	1974	USA
Chevrolet	Vega	22	4	140	72	2408	19	1971	USA
Chevrolet	Vega 2300	28	4	140	90	2264	15.5	1971	USA
Chevrolet	Woody	24.5	4	98	60	2164	22.1	1976	USA
Chevy	C10	13	8	350	145	4055	12	1976	USA
