id	movieId	castId
1/1	1	2
1/2	1	3
1/3	1	4
2/1	2	6
2/2	2	7
2/3	2	8
3/1	3	10
3/2	3	11
3/3	3	12
4/1	4	14
4/2	4	15
4/3	4	16
5/1	5	11
5/2	5	17
5/3	5	18
6/1	6	20
6/2	6	21
6/3	6	22
7/1	7	24
7/2	7	25
7/3	7	26
8/1	8	28
8/2	8	29
8/3	8	30
9/1	9	32
9/2	9	33
9/3	9	34
10/1	10	36
10/2	10	37
10/3	10	38
11/1	11	40
11/2	11	41
11/3	11	42
12/1	12	44
12/2	12	45
12/3	12	46
13/1	13	40
13/2	13	41
13/3	13	47
14/1	14	48
14/2	14	49
14/3	14	50
15/1	15	52
15/2	15	53
15/3	15	54
16/1	16	56
16/2	16	57
16/3	16	58
17/1	17	60
17/2	17	61
17/3	17	62
18/1	18	64
18/2	18	65
18/3	18	66
19/1	19	68
19/2	19	69
19/3	19	70
20/1	20	72
20/2	20	73
20/3	20	74
21/1	21	48
21/2	21	76
21/3	21	77
22/1	22	40
22/2	22	41
22/3	22	78
23/1	23	80
23/2	23	81
23/3	23	82
24/1	24	84
24/2	24	85
24/3	24	86
25/1	25	88
25/2	25	89
25/3	25	90
26/1	26	91
26/2	26	92
26/3	26	93
27/1	27	81
27/2	27	94
27/3	27	95
28/1	28	97
28/2	28	98
28/3	28	99
29/1	29	101
29/2	29	102
29/3	29	103
30/1	30	105
30/2	30	106
30/3	30	107
31/1	31	109
31/2	31	110
31/3	31	111
32/1	32	113
32/2	32	114
32/3	32	115
33/1	33	117
33/2	33	118
33/3	33	119
34/1	34	121
34/2	34	122
34/3	34	123
35/1	35	125
35/2	35	126
35/3	35	127
36/1	36	129
36/2	36	130
36/3	36	131
37/1	37	133
37/2	37	134
37/3	37	135
38/1	38	137
38/2	38	138
38/3	38	139
39/1	39	29
39/2	39	141
39/3	39	142
40/1	40	133
40/2	40	135
40/3	40	143
41/1	41	145
41/2	41	146
41/3	41	147
42/1	42	148
42/2	42	149
42/3	42	150
43/1	43	152
43/2	43	153
43/3	43	154
44/1	44	156
44/2	44	157
44/3	44	158
45/1	45	160
45/2	45	161
45/3	45	162
46/1	46	164
46/2	46	165
46/3	46	166
47/1	47	168
47/2	47	169
47/3	47	170
48/1	48	72
48/2	48	73
48/3	48	171
49/1	49	89
49/2	49	172
49/3	49	173
50/1	50	175
50/2	50	176
50/3	50	177
51/1	51	179
51/2	51	180
51/3	51	181
52/1	52	182
52/2	52	183
52/3	52	184
53/1	53	186
53/2	53	187
53/3	53	188
54/1	54	72
54/2	54	73
54/3	54	74
55/1	55	117
55/2	55	190
55/3	55	191
56/1	56	193
56/2	56	194
56/3	56	195
57/1	57	169
57/2	57	196
57/3	57	197
58/1	58	198
58/2	58	199
58/3	58	200
59/1	59	118
59/2	59	3
59/3	59	201
60/1	60	88
60/2	60	101
60/3	60	202
61/1	61	204
61/2	61	205
61/3	61	206
62/1	62	207
62/2	62	208
62/3	62	209
63/1	63	210
63/2	63	211
63/3	63	212
64/1	64	210
64/2	64	213
64/3	64	214
65/1	65	216
65/2	65	217
65/3	65	218
66/1	66	220
66/2	66	221
66/3	66	222
67/1	67	224
67/2	67	225
67/3	67	226
68/1	68	228
68/2	68	186
68/3	68	229
69/1	69	231
69/2	69	232
69/3	69	233
70/1	70	235
70/2	70	236
70/3	70	237
71/1	71	239
71/2	71	240
71/3	71	241
72/1	72	210
72/2	72	242
72/3	72	243
73/1	73	245
73/2	73	246
73/3	73	247
74/1	74	248
74/2	74	249
74/3	74	250
75/1	75	251
75/2	75	252
75/3	75	253
76/1	76	255
76/2	76	256
76/3	76	257
77/1	77	258
77/2	77	259
77/3	77	260
78/1	78	262
78/2	78	263
78/3	78	264
79/1	79	266
79/2	79	267
79/3	79	268
80/1	80	270
80/2	80	271
80/3	80	272
81/1	81	274
81/2	81	275
81/3	81	276
82/1	82	278
82/2	82	279
82/3	82	280
83/1	83	282
83/2	83	283
83/3	83	284
84/1	84	286
84/2	84	287
84/3	84	288
85/1	85	290
85/2	85	291
85/3	85	292
86/1	86	294
86/2	86	295
86/3	86	296
87/1	87	297
87/2	87	10
87/3	87	17
88/1	88	299
88/2	88	300
88/3	88	301
89/1	89	303
89/2	89	304
89/3	89	305
90/1	90	307
90/2	90	308
90/3	90	309
91/1	91	310
91/2	91	311
91/3	91	312
92/1	92	314
92/2	92	315
92/3	92	316
93/1	93	318
93/2	93	319
93/3	93	320
94/1	94	322
94/2	94	323
94/3	94	324
95/1	95	326
95/2	95	327
95/3	95	328
96/1	96	329
96/2	96	330
96/3	96	331
97/1	97	333
97/2	97	334
97/3	97	335
98/1	98	303
98/2	98	336
98/3	98	305
99/1	99	338
99/2	99	187
99/3	99	339
100/1	100	341
100/2	100	342
100/3	100	343
101/1	101	345
101/2	101	346
101/3	101	347
102/1	102	349
102/2	102	350
102/3	102	351
103/1	103	169
103/2	103	353
103/3	103	354
104/1	104	356
104/2	104	357
104/3	104	358
105/1	105	360
105/2	105	361
105/3	105	362
106/1	106	364
106/2	106	29
106/3	106	365
107/1	107	367
107/2	107	368
107/3	107	369
108/1	108	371
108/2	108	372
108/3	108	373
109/1	109	331
109/2	109	375
109/3	109	376
110/1	110	279
110/2	110	378
110/3	110	379
111/1	111	381
111/2	111	382
111/3	111	383
112/1	112	385
112/2	112	386
112/3	112	381
113/1	113	387
114/1	114	171
114/2	114	389
114/3	114	390
115/1	115	392
115/2	115	393
116/1	116	395
116/2	116	251
116/3	116	396
117/1	117	398
117/2	117	399
117/3	117	400
118/1	118	401
118/2	118	402
118/3	118	403
119/1	119	405
119/2	119	406
119/3	119	407
120/1	120	409
120/2	120	410
120/3	120	411
121/1	121	412
121/2	121	413
121/3	121	414
122/1	122	416
122/2	122	417
122/3	122	418
123/1	123	420
123/2	123	421
123/3	123	202
124/1	124	210
124/2	124	422
124/3	124	423
125/1	125	424
125/2	125	425
125/3	125	426
126/1	126	121
126/2	126	427
126/3	126	428
127/1	127	430
127/2	127	431
127/3	127	432
128/1	128	434
128/2	128	435
128/3	128	436
129/1	129	437
129/2	129	438
129/3	129	439
130/1	130	441
130/2	130	442
130/3	130	443
131/1	131	118
131/2	131	444
131/3	131	445
132/1	132	169
132/2	132	446
132/3	132	447
133/1	133	449
133/2	133	450
133/3	133	451
134/1	134	160
134/2	134	161
134/3	134	162
135/1	135	454
135/2	135	455
135/3	135	456
136/1	136	458
136/2	136	459
136/3	136	460
137/1	137	462
137/2	137	463
137/3	137	464
138/1	138	466
138/2	138	467
138/3	138	468
139/1	139	470
139/2	139	471
139/3	139	472
141/1	141	474
141/2	141	52
141/3	141	54
142/1	142	48
142/2	142	475
142/3	142	476
143/1	143	145
143/2	143	478
143/3	143	142
144/1	144	479
144/2	144	480
144/3	144	481
145/1	145	483
145/2	145	484
145/3	145	485
146/1	146	487
146/2	146	488
146/3	146	489
147/1	147	491
147/2	147	492
147/3	147	480
148/1	148	198
148/2	148	305
148/3	148	15
149/1	149	494
149/2	149	495
149/3	149	496
150/1	150	498
150/2	150	499
150/3	150	500
151/1	151	502
151/2	151	503
151/3	151	504
152/1	152	81
152/2	152	220
152/3	152	505
153/1	153	507
153/2	153	508
153/3	153	509
154/1	154	511
154/2	154	512
154/3	154	513
155/1	155	387
155/2	155	514
156/1	156	516
156/2	156	517
156/3	156	518
157/1	157	520
157/2	157	521
157/3	157	522
158/1	158	463
158/2	158	81
158/3	158	524
159/1	159	350
159/2	159	525
159/3	159	349
160/1	160	88
160/2	160	101
160/3	160	526
162/1	162	529
162/2	162	530
162/3	162	531
163/1	163	533
163/2	163	534
163/3	163	535
164/1	164	11
164/2	164	537
164/3	164	538
165/1	165	540
165/2	165	541
165/3	165	542
166/1	166	221
166/2	166	544
166/3	166	545
167/1	167	547
167/2	167	548
167/3	167	549
168/1	168	551
168/2	168	552
168/3	168	84
169/1	169	395
169/2	169	553
169/3	169	396
170/1	170	121
170/2	170	198
170/3	170	554
171/1	171	556
171/2	171	557
171/3	171	558
172/1	172	559
172/2	172	560
172/3	172	561
173/1	173	563
173/2	173	564
173/3	173	565
174/1	174	88
174/2	174	566
174/3	174	89
175/1	175	502
175/2	175	445
175/3	175	198
176/1	176	406
176/2	176	567
176/3	176	407
177/1	177	414
177/2	177	568
177/3	177	569
178/1	178	570
178/2	178	310
178/3	178	571
179/1	179	279
179/2	179	572
179/3	179	573
180/1	180	574
180/2	180	575
180/3	180	576
181/1	181	554
181/2	181	231
181/3	181	345
182/1	182	579
182/2	182	580
182/3	182	581
183/1	183	583
183/2	183	464
183/3	183	259
184/1	184	483
184/2	184	585
184/3	184	586
185/1	185	587
185/2	185	588
185/3	185	589
186/1	186	590
186/2	186	349
186/3	186	591
187/1	187	593
187/2	187	594
187/3	187	595
188/1	188	596
188/2	188	412
188/3	188	597
189/1	189	598
189/2	189	599
189/3	189	600
190/1	190	602
190/2	190	603
190/3	190	604
191/1	191	606
191/2	191	607
191/3	191	608
192/1	192	609
192/2	192	610
192/3	192	611
193/1	193	613
193/2	193	614
193/3	193	615
194/1	194	616
194/2	194	617
194/3	194	618
195/1	195	620
195/2	195	621
195/3	195	622
196/1	196	279
196/2	196	623
196/3	196	624
197/1	197	625
197/2	197	626
197/3	197	627
198/1	198	629
198/2	198	630
198/3	198	631
199/1	199	88
199/2	199	632
199/3	199	633
200/1	200	635
200/2	200	636
200/3	200	637
