id	name	gender	born	died	popularity	biography	image
1	Frank Darabont	2	1959		15	Frank Darabont (born January 28, 1959) is a Hungarian-American film director, screenwriter and producer who has been nominated for three Academy...	/nvOqAQhKtXdHtczgqanoCfltsxJ.jpg
2	Tim Robbins	2	1958		32	Timothy Francis Robbins (born October 16, 1958) is an American actor, screenwriter, director, producer, and musician. He is best known for his...	/hsCu1JUzQQ4pl7uFxAVFLOs9yHh.jpg
3	Morgan Freeman	2	1937		60	Morgan Freeman (born June 1, 1937) is an American actor, director, and narrator. Noted for his distinctive deep voice, Freeman is known for his...	/905k0RFzH0Kd6gx8oSxRdnr6FL.jpg
4	Bob Gunton	2	1945		27	Robert Patrick "Bob" Gunton, Jr. (born November 15, 1945) is an American actor. He is known for playing strict, authoritarian characters, with his...	/rr2KDCKK4t0f5YhZibCpLCAsJxc.jpg
5	Aditya Chopra	2	1971		5	Aditya Chopra is an Indian filmmaker. His work as a director includes Dilwale Dulhania Le Jayenge (1995), Mohabbatein (2000), Rab Ne Bana Di Jodi...	/eXYKfA6bg12pn9LPrWeRfxYQwcb.jpg
6	Shah Rukh Khan	2	1965		11	Shah Rukh Khan (born November 2, 1965) is a prominent Bollywood actor and producer. He made his film debut in Deewana (1992). In 2005, the Government...	/nLITkps4X81wy2opHgTJ0cs310I.jpg
7	Kajol	1	1974		7	Kajol (born Kajol Mukherjee), also known by her married name Kajol Devgan, is an Indian film actress, who predominantly works in Hindi cinema. Born...	/cwum24EsxNwpcEsboKkudiGySLY.jpg
8	Amrish Puri	2	1932	2005	9	From Wikipedia, the free encyclopedia.	/uhMGFS7tuG71LDv2wk9LfZZ4EG6.jpg
9	Francis Ford Coppola	2	1939		5	Francis Ford Coppola  (born April 7, 1939) is an American film director, producer and screenwriter. He is widely acclaimed as one of Hollywood's most...	/mGKkVp3l9cipPt10AqoQnwaPrfI.jpg
10	Marlon Brando	2	1924	2004	15	Marlon Brando Jr. (April 3, 1924 – July 1, 2004) was an American actor. Considered one of the most influential actors of the 20th century, he...	/5o8whyfLBWXLODEcMP8K45lPTjT.jpg
11	Al Pacino	2	1940		61	Alfredo James Pacino (born April 25, 1940) is an American actor and filmmaker. In a career spanning over five decades, he has received many awards...	/fMDFeVf0pjopTJbyRSLFwNDm8Wr.jpg
12	James Caan	2	1940	2022	36	James Edmund Caan (/kɑːn/ KAHN; March 26, 1940 – July 6, 2022) was an American actor who was nominated for several awards, including four Golden...	/bGyOCCOIgcIyKjOGLoXoyp0XWHf.jpg
13	Steven Spielberg	2	1946		33	Steven Allan Spielberg (born December 18, 1946) is an American film director, producer, and screenwriter. He began his career in the New Hollywood...	/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg
14	Liam Neeson	2	1952		59	An Irish actor who has been nominated for an Oscar, a BAFTA and three Golden Globe Awards. He has starred in a number of notable roles including...	/bboldwqSC6tdw2iL6631c98l2Mn.jpg
15	Ben Kingsley	2	1943		20	Sir Ben Kingsley, CBE (born 31 December 1943), born Krishna Pandit Bhanji , is a British actor. He has won an Oscar, BAFTA, Golden Globe and Screen...	/vQtBqpF2HDdzbfXHDzR4u37i1Ac.jpg
16	Ralph Fiennes	2	1962		38	An English actor, director and producer. A noted Shakespeare interpreter, he first achieved success onstage at the Royal National Theatre. Fiennes'...	/tJr9GcmGNHhLVVEH3i7QYbj6hBi.jpg
17	Robert Duvall	2	1931		37	Robert Selden Duvall (born January 5, 1931) is an American actor and filmmaker. He is the recipient of an Academy Award, four Golden Globe Awards, a...	/ybMmK25h4IVtfE7qrnlVp47RQlh.jpg
18	Diane Keaton	1	1946		27	Diane Hall Keaton (born Diane Hall; January 5, 1946) is an American actress. Known for her idiosyncratic personality and fashion style, she has...	/9WfaYj5iBMyDX4IJyM1bdMRD3x6.jpg
19	Ernesto Contreras	2	1969		2	Born in Veracruz, Mexico, in 1969, he is a graduate from the Center for Studies in Communication Sciences and later from the University Center for...	/sRTbKa2fihe8c3IUDLJEZszGALi.jpg
20	Nora Velázquez	1	1954		1	Mexican actress and comedian with an outstanding career in film, theater and television, known for playing the comic character of Chabelita;...	/iHnjw3XkxoHTjZht0n5gu1qUiSV.jpg
21	Benny Emmanuel	2	1996		7		/o27QoIpUBWcB3BosFdZnx9Nd9dy.jpg
22	Luisa Huertas	1	1951		2	Luisa Huertas is an actress of Salvadoran and Mexican nationality, born on June 24, 1951, in San Salvador, El Salvador. Born to a Spanish refugee...	/ptOQB51h66ZjmhEKL4GaSTtqNp7.jpg
23	Shouko Nakamura	1			4	Shouko NAKAMURA is best known for being the animation director and key animator of Tengen Toppa Gurren Lagann, the episode director, key animator and...	/lIPoHRbL7JKBwwf9FeR36utOUfO.jpg
24	Kenji Nojima	2	1976		5	Kenji Nojima was born March 16, 1976 in Suginami, Tokyo, Japan. He is a voice actor (seiyuu), singer and narrator employed by Japanese voice talent...	/nRSPVjDkdpnrQabnK5mENH118zN.jpg
25	Hiroshi Kamiya	2	1975		15	Hiroshi Kamiya is a Japanese voice actor, singer and narrator affiliated with Aoni Production. He is best known for being the voice of Choromatsu...	/u2r0u8tOa0cyh7nawcEOPpcEZr1.jpg
26	Hideo Ishikawa	2	1969		8	Hideo Ishikawa (石川 英郎) is a Japanese voice actor.	/gEjEDNGt3CHsyzFQdNqewZVbh0.jpg
27	Hayao Miyazaki	2	1941		13	Hayao Miyazaki (Miyazaki Hayao, born January 5, 1941) is a Japanese manga artist and prominent film director and animator of many popular anime...	/mG3cfxtA5jqDc7fpKgyzZMKoXDh.jpg
